Patch-engine verdicts, RE-CERTIFIED with the fixed engine (code/swap_patch_search.py), 2026-08-15

SOUNDNESS NOTE.  The pre-fix engine treated the straight-gap
(exact-pi) filler list as exhaustive although its flat tiles were
anchored to already-placed points only; kills reached through such
a branch were not sound.  The engine now enumerates flats
exhaustively whenever the line's contact origin is pinned (the
line leaves the region there, or runs into a placed tile's
interior) and defers otherwise.  Every verdict below is from the
fixed engine; the pre-fix table (git history) is superseded, and
its entries that do not reappear below are RETRACTED.

Verdict semantics: open-KILLED = every scale k >= M+2 at once
(base + AB half-planes only); rN-KILLED = scale k = M+N with full
containment and the BC corridor; OPEN = no verdict (defers or
caps); SURVIVES = a locally consistent completion of the demand
region exists (no verdict on the slot).

THEOREM LAYER (independent of the engine, lean/RogueMirror.lean +
code/zfan_corridor.py, exact): slot M dies at k = M+2 for e >= 3
and at k = M+3 for e >= 4, every member, uniformly in f.  The
engine tables below are the per-scale layer on top of that.

# fixed-engine re-certification: fmax=9 time_cap=90.0
# semantics: open-KILLED = all k >= M+2; rN-KILLED = k = M+N;
# OPEN = no verdict (defer or caps).  Every KILLED is sound.

== chord=free ==
(3,5) M=3: open:KILLED  r2:KILLED   [all k by open]
(4,5) M=3: open:SURVIVES  r2:KILLED
(5,6) M=3: open:SURVIVES  r2:KILLED  r3:OPEN
(5,6) M=4: open:SURVIVES  r2:KILLED
(2,7) M=5: open:KILLED  r2:KILLED   [all k by open]
(3,7) M=4: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(3,7) M=5: open:OPEN  r2:KILLED
(4,7) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED   [all k by open]
(4,7) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(4,7) M=5: open:SURVIVES  r2:KILLED
(5,7) M=3: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(5,7) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(5,7) M=5: open:OPEN  r2:KILLED
(6,7) M=3: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(6,7) M=4: open:SURVIVES  r2:KILLED  r3:OPEN
(6,7) M=5: open:SURVIVES  r2:KILLED
(3,8) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:OPEN   [all k by open]
(3,8) M=5: open:OPEN  r2:KILLED  r3:KILLED
(3,8) M=6: open:SURVIVES  r2:KILLED
(5,8) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED   [all k by open]
(5,8) M=4: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(5,8) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(5,8) M=6: open:SURVIVES  r2:KILLED
(7,8) M=3: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN
(7,8) M=4: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(7,8) M=5: open:SURVIVES  r2:KILLED  r3:OPEN
(7,8) M=6: open:SURVIVES  r2:KILLED
(2,9) M=6: open:KILLED  r2:KILLED  r3:KILLED   [all k by open]
(2,9) M=7: open:OPEN  r2:KILLED
(4,9) M=4: open:KILLED  r2:KILLED  r3:KILLED  r4:OPEN  r5:OPEN   [all k by open]
(4,9) M=5: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(4,9) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(4,9) M=7: open:OPEN  r2:KILLED
(5,9) M=3: open:KILLED  r2:KILLED  r3:KILLED  r4:KILLED  r5:KILLED  r6:KILLED   [all k by open]
(5,9) M=4: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN
(5,9) M=5: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(5,9) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(5,9) M=7: open:SURVIVES  r2:KILLED
(7,9) M=3: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN  r6:OPEN
(7,9) M=4: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN  r5:OPEN
(7,9) M=5: open:SURVIVES  r2:KILLED  r3:OPEN  r4:OPEN
(7,9) M=6: open:SURVIVES  r2:KILLED  r3:OPEN
(7,9) M=7: open:SURVIVES  r2:KILLED
