# F1 — partial dissection of the m=1 base-beta target at (e,f)=(2,3), N=23.
# 17 of 23 tiles, congruent to (6,5,9); extends to NO tiling.
# Field: Q(sqrt(32)).  r = sqrt(32).  Target: (0,0) - (46,0) - (23, 5r/2).
# Coordinates are exact rationals; a "*r" column is the coefficient of r=sqrt(32).
# VERIFIED 2026-09-06 (moderator, independently, exact arithmetic):
#   17/17 tiles congruent to (6,5,9)  [squared sides {25,36,81}, zero irrational part]
#   all 51 vertices inside the target
#   ZERO pairwise interior overlap (SAT + Sutherland-Hodgman)
#   area ratio exactly 17/23; residue exactly 6 tiles
# Base word: a a b b c c a
# Provenance: room `advance`, Erdos seat, 2026-09-06; moderator-verified same day.
# Consumer: F2 (lean/Erdos634/LocalCriterionBound.lean) — the >N-6 bound rests on this witness.
tile	x1	y1r	x2	y2r	x3	y3r
1	0	0	6	0	23/3	5/6
2	6	0	12	0	41/3	5/6
3	6	0	41/3	5/6	23/3	5/6
4	12	0	17	0	19	1
5	12	0	19	1	14	1
6	17	0	22	0	24	1
7	17	0	65/3	2/3	20	3/2
8	22	0	31	0	233/9	5/9
9	22	0	29	1	24	1
10	31	0	40	0	314/9	5/9
11	31	0	314/9	5/9	233/9	5/9
12	40	0	46	0	115/3	5/6
13	40	0	115/3	5/6	97/3	5/6
14	233/9	5/9	314/9	5/9	268/9	10/9
15	65/3	2/3	79/3	4/3	74/3	13/6
16	65/3	2/3	74/3	13/6	20	3/2
17	23/3	5/6	41/3	5/6	46/3	5/3
